METADATA:
Experiment Seed,Subject
2036665,Enter Name Here
Time after setup,1.7927595999790356
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-15
EXPERIMENT DATA:,Movie Task
Start Time,6.406588199955877
ESQ,69.52527169999667,,Problem_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-bridge
ESQ,71.219266399974,,Deliberate_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-bridge
ESQ,72.65925729996525,,Focus_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-bridge
ESQ,74.12288509996142,,Images_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-bridge
ESQ,75.51848369999789,,Distracting_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-bridge
ESQ,76.63646919996245,,Absorption_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-bridge
ESQ,78.26823079999303,,Knowledge_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-bridge
ESQ,109.77117839996936,,Future_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-bridge
ESQ,111.31914009997854,,Past_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-bridge
ESQ,112.45006389997434,,Other_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-bridge
ESQ,113.6601794999442,,Words_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-bridge
ESQ,114.70767879998311,,Intrusive_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-bridge
ESQ,116.03525269997772,,Detailed_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-bridge
ESQ,117.29909049998969,,Self_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-bridge
ESQ,118.58353699999861,,Emotion_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-bridge
ESQ,119.84038009995129,,Sounds_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-bridge
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,131.78991429996677
ESQ,148.13512779999292,,Intrusive_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,149.259682599979,,Detailed_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,150.48092119995272,,Past_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,151.51571409997996,,Emotion_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,152.5296057999949,,Focus_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,153.79986349999672,,Deliberate_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,154.95413519995054,,Self_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Movie Task-Movie Task-bridge
ESQ,156.05695059994468,,Distracting_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,157.22491140000056,,Absorption_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,158.45382830000017,,Sounds_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,159.77582519996213,,Problem_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,161.35651049995795,,Images_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,162.4117018999532,,Other_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,163.62061929999618,,Words_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,Movie Task-Movie Task-bridge
ESQ,164.75210849998984,,Knowledge_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,165.85027279995847,,Future_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Movie Task-Movie Task-bridge
 
Runtime Mod,11
EXPERIMENT DATA:,Movie Task
Start Time,165.8575268999557
ESQ,260.1036724000005,,Future_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-incept
ESQ,261.18068469996797,,Deliberate_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-incept
ESQ,262.4238751999801,,Emotion_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-incept
ESQ,263.50758679996943,,Focus_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-incept
ESQ,264.58410139998887,,Problem_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-incept
ESQ,265.9095768999541,,Sounds_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-incept
ESQ,267.2010238999501,,Words_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-incept
ESQ,268.6529255999485,,Images_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-incept
ESQ,270.0635449999827,,Absorption_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-incept
ESQ,271.23766789998626,,Intrusive_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-incept
ESQ,272.5153356999508,,Detailed_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-incept
ESQ,273.82667989999754,,Distracting_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-incept
ESQ,275.1684328999836,,Other_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-incept
ESQ,276.47310889995424,,Self_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-incept
ESQ,277.9240710999584,,Knowledge_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-incept
ESQ,279.30697469995357,,Past_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-incept
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,293.5101779999677
ESQ,296.4819697999628,,Knowledge_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,Movie Task-Movie Task-incept
ESQ,297.7167311999947,,Emotion_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,298.9611989999539,,Other_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Movie Task-Movie Task-incept
