METADATA:
Experiment Seed,Subject
2036665,Enter Name Here
Time after setup,1.7927434999728575
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,6.406573699961882
Movie Task Start,6.406615299987607,,,,Movie Task,1,Enter Name Here,,,
Movie Init,7.290524099953473,,,,Movie Task,1,Enter Name Here,,,
Movie Start,7.29058539995458,,,,Movie Task,1,Enter Name Here,,bridge.mp4,
ESQ,66.20579719997477,,Problem_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,69.52527169999667,,Problem_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-bridge
ESQ,69.52615479996894,,Deliberate_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,71.219266399974,,Deliberate_response,10.0,Movie Task,1,Enter Name Here,,Marker Started at 10,Movie Task-bridge
ESQ,71.2205083000008,,Focus_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,72.65925729996525,,Focus_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-bridge
ESQ,72.66039509995608,,Images_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,74.12288509996142,,Images_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-bridge
ESQ,74.12340729997959,,Distracting_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,75.51848369999789,,Distracting_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-bridge
ESQ,75.51951499999268,,Absorption_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,76.63646919996245,,Absorption_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-bridge
ESQ,76.63718939997489,,Knowledge_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,78.26823079999303,,Knowledge_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-bridge
ESQ,78.26944189995993,,Future_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,109.77117839996936,,Future_response,5.0,Movie Task,1,Enter Name Here,,Marker Started at 5,Movie Task-bridge
ESQ,109.77166269998997,,Past_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,111.31914009997854,,Past_response,8.0,Movie Task,1,Enter Name Here,,Marker Started at 8,Movie Task-bridge
ESQ,111.32029209996108,,Other_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,112.45006389997434,,Other_response,7.0,Movie Task,1,Enter Name Here,,Marker Started at 7,Movie Task-bridge
ESQ,112.451319099986,,Words_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,113.6601794999442,,Words_response,6.0,Movie Task,1,Enter Name Here,,Marker Started at 6,Movie Task-bridge
ESQ,113.66141029994469,,Intrusive_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,114.70767879998311,,Intrusive_response,4.0,Movie Task,1,Enter Name Here,,Marker Started at 4,Movie Task-bridge
ESQ,114.70864959998289,,Detailed_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,116.03525269997772,,Detailed_response,3.0,Movie Task,1,Enter Name Here,,Marker Started at 3,Movie Task-bridge
ESQ,116.03685489995405,,Self_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,117.29909049998969,,Self_response,9.0,Movie Task,1,Enter Name Here,,Marker Started at 9,Movie Task-bridge
ESQ,117.30047509999713,,Emotion_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,118.58353699999861,,Emotion_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-bridge
ESQ,118.58471739996457,,Sounds_start,,Movie Task,1,Enter Name Here,,,Movie Task-bridge
ESQ,119.84038009995129,,Sounds_response,2.0,Movie Task,1,Enter Name Here,,Marker Started at 2,Movie Task-bridge
Movie End bridge.mp4,131.73268199997256,,,,Movie Task,1,Enter Name Here,,81,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,131.78989629994612
ESQ,146.67264329997124,,Intrusive_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,148.13512779999292,,Intrusive_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,148.13833039999008,,Detailed_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,149.259682599979,,Detailed_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,149.26132119999966,,Past_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,150.48092119995272,,Past_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,Movie Task-Movie Task-bridge
ESQ,150.482177399972,,Emotion_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,151.51571409997996,,Emotion_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Movie Task-Movie Task-bridge
ESQ,151.51715799997328,,Focus_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,152.5296057999949,,Focus_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,152.5313306999742,,Deliberate_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,153.79986349999672,,Deliberate_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,Movie Task-Movie Task-bridge
ESQ,153.80129669996677,,Self_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,154.95413519995054,,Self_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,Movie Task-Movie Task-bridge
ESQ,154.95540629996685,,Distracting_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,156.05695059994468,,Distracting_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,Movie Task-Movie Task-bridge
ESQ,156.05888859997503,,Absorption_start,,Experience Sampling Questions,1,Enter Name Here,,,Movie Task-Movie Task-bridge
ESQ,157.22491140000056,,Absorption_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,Movie Task-Movie Task-bridge
